id,y_true,y_pred,absolute_error
1733747783.856866,96.0,114.24418653449655,18.24418653449655
1733747793.911888,288.0,209.09168695805238,78.90831304194762
1733747803.955032,281.0,235.18181769259917,45.81818230740083
1733747814.008134,265.0,165.79595853246482,99.20404146753518
1733747824.07871,246.0,231.55903987256556,14.440960127434437
1733747834.12028,182.0,118.06323326559342,63.936766734406575
1733747844.174206,171.0,177.17568486302878,6.175684863028778
1733747854.226718,215.0,245.15893112913434,30.158931129134345
1733747864.272338,25.0,146.27950555690472,121.27950555690472
1733747874.316702,151.0,164.48803383176863,13.488033831768632
1733747884.373692,97.0,124.34125781171738,27.341257811717384
1733747894.415526,138.0,73.89130778563505,64.10869221436495
1733747904.454234,206.0,162.37809618375738,43.62190381624262
1733747914.52442,144.0,182.84144086141268,38.84144086141268
1733747924.64262,202.0,142.3109206622482,59.68907933775179
1733748713.528871,156.0,159.93706843463852,3.937068434638519
1733748723.601927,127.0,164.3301582359193,37.3301582359193
1733748733.658649,69.0,100.66339134964326,31.663391349643263
1733748743.70853,292.0,200.65977198521878,91.34022801478122
1733748753.776428,88.0,95.06218626579106,7.0621862657910555
1733748763.841177,275.0,234.90789953342886,40.09210046657114
1733748773.870304,219.0,146.6456135715725,72.35438642842749
1733748783.903466,135.0,128.46271126779868,6.5372887322013185
1733748793.957532,96.0,85.25929885962952,10.740701140370476
1733748803.973002,219.0,140.02257609736603,78.97742390263397
1733748814.007507,42.0,80.4341512893629,38.4341512893629
1733748824.054403,71.0,86.2382275178324,15.2382275178324
1733748834.106076,180.0,172.5523133160796,7.447686683920409
1733748844.208146,190.0,173.25293019933895,16.747069800661052
1733749618.569707,63.0,53.473363022118576,9.526636977881424
1733749628.601545,99.0,228.5856345084469,129.5856345084469
1733749638.639747,185.0,164.6765966263598,20.32340337364019
1733749648.673629,248.0,216.00836594105994,31.991634058940065
1733749658.699785,237.0,157.80199942631646,79.19800057368354
1733749668.74081,128.0,72.73110766827678,55.26889233172322
1733749678.771073,178.0,193.01767569490363,15.01767569490363
1733749688.804166,151.0,165.84427759702953,14.844277597029532
1733749698.838074,74.0,131.08564973096998,57.085649730969976
1733749708.870789,55.0,74.1542926470333,19.1542926470333
1733749718.942547,88.0,114.14481794014833,26.14481794014833
1733749728.980925,225.0,169.5568762854548,55.44312371454521
1733749739.022539,150.0,148.9834893788252,1.0165106211748025
1733749749.132162,121.0,169.2311988217084,48.231198821708404
1733749759.212872,295.0,221.77392889122234,73.22607110877766
1733749987.482371,281.0,283.6355672939131,2.635567293913084
